world	node	child	value	prob	N	hash	numElements
ikea	N9299941	N1515191	27.3	0.0	1	ikea N9299941	1
ikea	N5268104	N386561	23.5	1.0	2	ikea N5268104	1
ikea	N5268104	N7542936	26.5	0.0	2	ikea N5268104	1
lab	N7839123	N6747577	22.142857	0.7	20	lab N7839123	4
lab	N7839123	N3878758	21.857143	0.3	20	lab N7839123	4
lab	N9798875	N8488385	31.2	0.0	5	lab N9798875	2
lab	N239923	N1797478	28.833332000000002	0.2941176471	17	lab N239923	1
lab	N239923	N9684539	30.166664	0.7058823529000001	17	lab N239923	1
lab	N3936820	N4841925	28.833332000000002	0.2666666667	30	lab N3936820	1
lab	N3936820	N7852858	30.166664	0.7333333333	30	lab N3936820	1
lab	N1930098	N1501992	29.0	0.8888888889	9	lab N1930098	2
lab	N63617	N242960	23.7	0.0	17	lab N63617	4
lab	N7839123	N4211456	25.0	0.0	20	lab N7839123	4
lab	N5408887	N441665	31.2	0.0	1	lab N5408887	2
lab	N5745806	N7444307	25.11111	0.0322580645	31	lab N5745806	3
lab	N3878758	N3706462	27.2	0.0	6	lab N3878758	3
lab	N3878758	N8861539	25.6	0.0	6	lab N3878758	3
lab	N3878758	N6463419	24.8	1.0	6	lab N3878758	3
lab	N5408887	N5399461	34.0	1.0	1	lab N5408887	2
lab	N1930098	N2539902	33.0	0.11111111109999999	9	lab N1930098	2
lab	N9798875	N5984201	28.0	1.0	5	lab N9798875	2
lab	N5745806	N9798875	24.222223	0.0	31	lab N5745806	3
lab	N7646124	N1142105	28.285713	0.0	17	lab N7646124	2
lab	N63617	N6241308	24.5	0.0	17	lab N63617	4
lab	N2601690	N7646124	26.249997999999998	0.8947368420999999	19	lab N2601690	3
lab	N63617	N5745806	22.9	1.0	17	lab N63617	4
lab	N3633749	N9447532	23.777779000000002	0.0	13	lab N3633749	4
lab	N3633749	N2601690	23.777779000000002	1.0	13	lab N3633749	4
lab	N3633749	N752499	23.777777	0.0	13	lab N3633749	4
lab	N2601690	N1930098	25.25	0.052631578899999996	19	lab N2601690	3
lab	N6747577	N7985505	23.5	1.0	14	lab N6747577	3
lab	N6747577	N1618589	25.5	0.0	14	lab N6747577	3
lab	N6747577	N7823548	27.833332000000002	0.0	14	lab N6747577	3
lab	N2601690	N124975	26.25	0.052631578899999996	19	lab N2601690	3
lab	N1113507	N8238657	26.42857	0.0	30	lab N1113507	2
lab	N1113507	N3936820	27.285713	1.0	30	lab N1113507	2
lab	N1113507	N661854	27.57143	0.0	30	lab N1113507	2
lab	N5745806	N1113507	24.222220999999998	0.9677419355	31	lab N5745806	3
lab	N63617	N2927853	23.9	0.0	17	lab N63617	4
lab	N7646124	N239923	27.42857	1.0	17	lab N7646124	2
lab	N7646124	N3814011	29.428573999999998	0.0	17	lab N7646124	2
lab	N3633749	N9315520	22.88889	0.0	13	lab N3633749	4
lab	N2539902	N5384883	38.0	0.0	1	lab N2539902	1
lab	N4538173	N2899302	21.545456	0.0	30	lab N4538173	5
lab	N8548928	N9935630	15.076923	0.4841269841	126	lab N8548928	6
lab	N4538173	N63617	21.72727	0.5666666667	30	lab N4538173	5
lab	N2539902	N3230902	34.666664000000004	1.0	1	lab N2539902	1
lab	N8548928	N2655524	15.692307000000001	0.2777777778	126	lab N8548928	6
lab	N8548928	N4538173	18.76923	0.2380952381	126	lab N8548928	6
lab	N4538173	N6476882	20.818182	0.0	30	lab N4538173	5
lab	N4538173	N3633749	20.636364	0.43333333329999996	30	lab N4538173	5
lab	N9935630	N9994475	18.444445	0.6721311475	61	lab N9935630	5
lab	N9935630	N7839123	19.777779000000002	0.3278688525	61	lab N9935630	5
labyrinth3	N8899359	N5316967	13.090910000000001	0.380952381	126	labyrinth3 N8899359	2
labyrinth3	N8858377	N4938213	15.166667000000002	0.6304347826	46	labyrinth3 N8858377	1
labyrinth3	N8858377	N1078752	16.5	0.36956521740000003	46	labyrinth3 N8858377	1
labyrinth3	N5316967	N8407469	16.571428	0.3541666667	48	labyrinth3 N5316967	1
labyrinth3	N5316967	N4592326	14.857142999999999	0.6458333333	48	labyrinth3 N5316967	1
labyrinth3	N8899359	N7730376	14.545454000000001	0.253968254	126	labyrinth3 N8899359	2
labyrinth3	N8899359	N8858377	12.727272	0.3650793651	126	labyrinth3 N8899359	2
library	N9747004	N8680754	19.0	1.0	36	library N9747004	1
library	N9747004	N1647237	24.0	0.0	36	library N9747004	1
library	N2272684	N4522484	16.166666	0.4814814815	27	library N2272684	2
library	N5610265	N1352798	20.0	1.0	1	library N5610265	1
library	N5610265	N7608419	19.0	0.0	1	library N5610265	1
library	N2272684	N1620555	22.166666	0.0	27	library N2272684	2
library	N2272684	N9747004	16.833332000000002	0.5185185185	27	library N2272684	2
library	N2153380	N3287714	16.0	0.2244897959	98	library N2153380	1
library	N2153380	N4822267	15.0	0.7755102040999999	98	library N2153380	1
library	N6857034	N54623	16.454544	0.0357142857	28	library N6857034	3
library	N9553169	N7453865	11.666667	0.7777777778	126	library N9553169	4
library	N6857034	N2272684	13.727272	0.9642857143000001	28	library N6857034	3
library	N9553169	N6857034	12.066667	0.22222222219999999	126	library N9553169	4
museum	N8235434	N1421546	26.25	0.0	1	museum N8235434	2
museum	N8999294	N7239905	19.785715	0.0107526882	93	museum N8999294	4
museum	N8999294	N3878259	17.5	0.3333333333	93	museum N8999294	4
museum	N8999294	N3583653	16.928572	0.6559139785	93	museum N8999294	4
museum	N2723957	N3515934	26.5	0.0	6	museum N2723957	1
museum	N8235434	N9086861	25.25	1.0	1	museum N8235434	2
museum	N4708138	N3592924	31.5	0.0	2	museum N4708138	1
museum	N4708138	N8137719	27.5	1.0	2	museum N4708138	1
museum	N599523	N8999294	14.368422	0.7380952381	126	museum N599523	5
museum	N599523	N1035050	15.736841	0.2619047619	126	museum N599523	5
museum	N2723957	N7639406	24.5	1.0	6	museum N2723957	1
museum	N1035050	N9773808	18.333332000000002	0.9666666667	30	museum N1035050	4
museum	N1035050	N9449477	17.8	0.033333333300000004	30	museum N1035050	4
museum	N9449477	N3228077	20.1	1.0	1	museum N9449477	3
museum	N9449477	N934578	28.9	0.0	1	museum N9449477	3
museum	N9449477	N3255322	20.9	0.0	1	museum N9449477	3
museum	N3878259	N4337909	20.5	0.9032258065000001	31	museum N3878259	3
museum	N4946088	N8559917	21.25	0.7586206897	29	museum N4946088	2
museum	N4337909	N3311969	22.75	0.9142857143	35	museum N4337909	2
museum	N4337909	N4708138	24.75	0.0857142857	35	museum N4337909	2
museum	N4946088	N2723957	22.25	0.2413793103	29	museum N4946088	2
museum	N7239905	N1666022	24.9	0.0	1	museum N7239905	3
museum	N7239905	N8235434	22.900002	1.0	1	museum N7239905	3
museum	N7239905	N2769566	24.1	0.0	1	museum N7239905	3
museum	N3878259	N2766129	23.300001	0.0322580645	31	museum N3878259	3
museum	N3878259	N5843320	21.7	0.064516129	31	museum N3878259	3
roomG	N8320789	N1625775	18.571428	0.3088235294	68	roomG N8320789	2
roomG	N5279315	N6566182	22.571428	0.0	1	roomG N5279315	2
roomG	N5279315	N2518305	20.285713	1.0	1	roomG N5279315	2
roomG	N8317607	N1983096	21.900002	0.9705882353	34	roomG N8317607	1
roomG	N8317607	N940315	23.900002	0.029411764700000002	34	roomG N8317607	1
roomG	N3215843	N3886181	14.294119	0.46031746030000004	126	roomG N3215843	4
roomG	N3215843	N9994126	13.3529415	0.5396825397	126	roomG N3215843	4
roomG	N3886181	N5279315	17.307692000000003	0.017241379299999998	58	roomG N3886181	3
roomG	N1625775	N2316202	19.8	0.0	21	roomG N1625775	1
roomG	N3886181	N413710	15.769232	0.7241379309999999	58	roomG N3886181	3
roomG	N3886181	N1443972	17.615382999999998	0.25862068969999996	58	roomG N3886181	3
roomG	N1443972	N8317607	21.09091	0.8666666667	15	roomG N1443972	2
roomG	N1443972	N7117627	20.545454	0.0	15	roomG N1443972	2
roomG	N1443972	N2654501	18.727272	0.1333333333	15	roomG N1443972	2
roomG	N8320789	N3398689	16.285715	0.6911764706	68	roomG N8320789	2
roomG	N1625775	N9172148	21.8	1.0	21	roomG N1625775	1
tworooms	N1627744	N7416731	13.2	0.6507936508	126	tworooms N1627744	4
tworooms	N1627744	N2169075	15.466667000000001	0.34920634920000004	126	tworooms N1627744	4
tworooms	N6388298	N3112363	22.571428	0.8095238095	21	tworooms N6388298	1
tworooms	N6388298	N2446217	20.571428	0.1904761905	21	tworooms N6388298	1
tworooms	N2277	N5127596	18.5	0.033333333300000004	30	tworooms N2277	2
tworooms	N7291500	N9403647	21.75	0.7142857143000001	7	tworooms N7291500	1
tworooms	N5159403	N7004659	20.1	0.0	12	tworooms N5159403	2
tworooms	N5159403	N1559736	20.1	0.0	12	tworooms N5159403	2
tworooms	N2277	N6388298	18.3	0.7333333333	30	tworooms N2277	2
tworooms	N1738800	N5180650	22.714287	1.0	11	tworooms N1738800	1
tworooms	N5159403	N1738800	19.9	1.0	12	tworooms N5159403	2
tworooms	N2277	N7291500	19.900002	0.23333333329999997	30	tworooms N2277	2
tworooms	N2169075	N2277	17.0	0.6818181818000001	44	tworooms N2169075	3
tworooms	N2169075	N763696	17.166666	0.0454545455	44	tworooms N2169075	3
tworooms	N2169075	N5159403	18.499998	0.2727272727	44	tworooms N2169075	3
tworooms	N7291500	N9601214	21.5	0.2857142857	7	tworooms N7291500	1
tworooms	N1738800	N7295169	22.428572	0.0	11	tworooms N1738800	1
